#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
,result,table,_start,_stop,_time,_value,_field,_measurement,device
,_result,0,2025-02-04T18:41:10.236976077Z,2025-03-06T18:41:10.236976077Z,2025-03-06T00:00:00Z,30.46666666666667,value,humidity,herbs-garden
,_result,1,2025-02-04T18:41:10.236976077Z,2025-03-06T18:41:10.236976077Z,2025-03-06T00:00:00Z,112.70166666666667,value,luminance,herbs-garden
,_result,2,2025-02-04T18:41:10.236976077Z,2025-03-06T18:41:10.236976077Z,2025-03-06T00:00:00Z,0,value,moisture_a,herbs-garden
,_result,3,2025-02-04T18:41:10.236976077Z,2025-03-06T18:41:10.236976077Z,2025-03-06T00:00:00Z,0,value,moisture_b,herbs-garden
,_result,4,2025-02-04T18:41:10.236976077Z,2025-03-06T18:41:10.236976077Z,2025-03-06T00:00:00Z,0,value,moisture_c,herbs-garden
,_result,5,2025-02-04T18:41:10.236976077Z,2025-03-06T18:41:10.236976077Z,2025-03-06T00:00:00Z,987.6916666666667,value,pressure,herbs-garden
,_result,6,2025-02-04T18:41:10.236976077Z,2025-03-06T18:41:10.236976077Z,2025-03-06T00:00:00Z,28.11,value,temperature,herbs-garden
,_result,7,2025-02-04T18:41:10.236976077Z,2025-03-06T18:41:10.236976077Z,2025-03-06T18:41:10.236976077Z,25.5,value,temperature,test-sensor

